Setting up the environment...
Job started on gl1504.arc-ts.umich.edu at Sat Dec 27 16:02:41 EST 2025
Python version: Python 3.9.7
PyTorch version: 2.8.0+cu128
CUDA available: True
Current GPU: NVIDIA A40
----------------------------------------------------------------
EXPERIMENT NAME: supcon_temp_0.6
=== CONFIG ===
MODEL_NAME=facebook/wav2vec2-xls-r-300m
SAVE_DIR=/home/jsudan/wav2vec_contr_loss/checkpoints_stage1/supcon_temp_0.6/facebook__wav2vec2-xls-r-300m
TRAIN_ROOT=/nfs/turbo/umd-hafiz/issf_server_data/AsvSpoofData_2019/train/LA/ASVspoof2019_LA_train/flac
TRAIN_PROTOCOL=/nfs/turbo/umd-hafiz/issf_server_data/AsvSpoofData_2019/train/LA/ASVspoof2019_train_protocol_with_speaker.txt
DEV_ROOT=/nfs/turbo/umd-hafiz/issf_server_data/AsvSpoofData_2019/train/LA/ASVspoof2019_LA_dev/flac
DEV_PROTOCOL=/nfs/turbo/umd-hafiz/issf_server_data/AsvSpoofData_2019/train/LA/ASVspoof2019_dev_protocol_with_speaker.txt
TARGET_SAMPLE_RATE=16000
MAX_DURATION_SECONDS=5
INPUT_DIM=1024
HIDDEN_DIM=256
DROPOUT=0.1
EPOCHS=100
BATCH_SIZE=32
NUM_SAMPLES=None
HEAD_LR=0.005
ENC_LR=1e-05
WEIGHT_DECAY=0.003
TEMPERATURE=0.6
NUM_WORKERS=4
SEED=1337
UNIFORMITY_WEIGHT=0.0
UNIFORMITY_T=2.0
SUPCON_SIMILARITY=cosine
TOPK_NEG=15
WARMUP_EPOCHS=100
ALPHA_END=1.0
ALPHA_RAMP_EPOCHS=80
USE_RAWBOOST=True
RAWBOOST_PROB=0.7
FINETUNE_ENCODER=True
DISTRIBUTED=False | WORLD_SIZE=1 | RANK=0
✓ Saved best -> /home/jsudan/wav2vec_contr_loss/checkpoints_stage1/supcon_temp_0.6/facebook__wav2vec2-xls-r-300m/facebook__wav2vec2-xls-r-300m_stage1_head_best.pt (dev=2.7489)
[epoch 011] alpha=0.00 | train_loss=2.7641 | dev_loss=2.7524
[epoch 012] alpha=0.00 | train_loss=2.7732 | dev_loss=2.7656
[epoch 013] alpha=0.00 | train_loss=2.7607 | dev_loss=2.7728
[epoch 014] alpha=0.00 | train_loss=2.8047 | dev_loss=2.7511
[epoch 015] alpha=0.00 | train_loss=2.7638 | dev_loss=2.7547
[epoch 016] alpha=0.00 | train_loss=2.7623 | dev_loss=2.7641
[epoch 017] alpha=0.00 | train_loss=2.7610 | dev_loss=2.7549
[epoch 018] alpha=0.00 | train_loss=2.7638 | dev_loss=2.7490
[epoch 019] alpha=0.00 | train_loss=2.7603 | dev_loss=2.7536
[epoch 020] alpha=0.00 | train_loss=2.7568 | dev_loss=2.7594
[epoch 021] alpha=0.00 | train_loss=2.7593 | dev_loss=2.7500
[epoch 022] alpha=0.00 | train_loss=2.7521 | dev_loss=2.7688
[epoch 023] alpha=0.00 | train_loss=2.7533 | dev_loss=2.7515
[epoch 024] alpha=0.00 | train_loss=2.7635 | dev_loss=2.7494
[epoch 025] alpha=0.00 | train_loss=2.7523 | dev_loss=2.7521
[epoch 026] alpha=0.00 | train_loss=2.7763 | dev_loss=2.7543
[epoch 027] alpha=0.00 | train_loss=2.7521 | dev_loss=2.7495
[epoch 028] alpha=0.00 | train_loss=2.7569 | dev_loss=2.7511
[epoch 029] alpha=0.00 | train_loss=2.7538 | dev_loss=2.7456
✓ Saved best -> /home/jsudan/wav2vec_contr_loss/checkpoints_stage1/supcon_temp_0.6/facebook__wav2vec2-xls-r-300m/facebook__wav2vec2-xls-r-300m_stage1_head_best.pt (dev=2.7456)
[epoch 030] alpha=0.00 | train_loss=2.7710 | dev_loss=2.7560
[epoch 031] alpha=0.00 | train_loss=2.7662 | dev_loss=2.7539
[epoch 032] alpha=0.00 | train_loss=2.7571 | dev_loss=2.7495
[epoch 033] alpha=0.00 | train_loss=2.7539 | dev_loss=2.7478
[epoch 034] alpha=0.00 | train_loss=2.7606 | dev_loss=2.7489
[epoch 035] alpha=0.00 | train_loss=2.7670 | dev_loss=2.7462
[epoch 036] alpha=0.00 | train_loss=2.7522 | dev_loss=2.7465
[epoch 037] alpha=0.00 | train_loss=2.7543 | dev_loss=2.7539
[epoch 038] alpha=0.00 | train_loss=2.7610 | dev_loss=2.7791
[epoch 039] alpha=0.00 | train_loss=2.7533 | dev_loss=2.7622
[epoch 040] alpha=0.00 | train_loss=2.7570 | dev_loss=2.7520
[epoch 041] alpha=0.00 | train_loss=2.7582 | dev_loss=2.7550
[epoch 042] alpha=0.00 | train_loss=2.7500 | dev_loss=2.7511
[epoch 043] alpha=0.00 | train_loss=2.7486 | dev_loss=2.7554
[epoch 044] alpha=0.00 | train_loss=2.7609 | dev_loss=2.7521
[epoch 045] alpha=0.00 | train_loss=2.7629 | dev_loss=2.7499
[epoch 046] alpha=0.00 | train_loss=2.7707 | dev_loss=2.7538
[epoch 047] alpha=0.00 | train_loss=2.7528 | dev_loss=2.7507
[epoch 048] alpha=0.00 | train_loss=2.7487 | dev_loss=2.7492
[epoch 049] alpha=0.00 | train_loss=2.7460 | dev_loss=2.7503
[epoch 050] alpha=0.00 | train_loss=2.7519 | dev_loss=2.7470
[epoch 051] alpha=0.00 | train_loss=2.7592 | dev_loss=2.7516
[epoch 052] alpha=0.00 | train_loss=2.7558 | dev_loss=2.7545
[epoch 053] alpha=0.00 | train_loss=2.7549 | dev_loss=2.7473
[epoch 054] alpha=0.00 | train_loss=2.7503 | dev_loss=2.7475
[epoch 055] alpha=0.00 | train_loss=2.7466 | dev_loss=2.7471
[epoch 056] alpha=0.00 | train_loss=2.7481 | dev_loss=2.7490
[epoch 057] alpha=0.00 | train_loss=2.7519 | dev_loss=2.7608
[epoch 058] alpha=0.00 | train_loss=2.7545 | dev_loss=2.7473
[epoch 059] alpha=0.00 | train_loss=2.7482 | dev_loss=2.7495
[epoch 060] alpha=0.00 | train_loss=2.7508 | dev_loss=2.7570
[epoch 061] alpha=0.00 | train_loss=2.7507 | dev_loss=2.7485
[epoch 062] alpha=0.00 | train_loss=2.7591 | dev_loss=2.7502
[epoch 063] alpha=0.00 | train_loss=2.7650 | dev_loss=2.7482
[epoch 064] alpha=0.00 | train_loss=2.7529 | dev_loss=2.7470
[epoch 065] alpha=0.00 | train_loss=2.7522 | dev_loss=2.7478
[epoch 066] alpha=0.00 | train_loss=2.7478 | dev_loss=2.7461
[epoch 067] alpha=0.00 | train_loss=2.7457 | dev_loss=2.7491
[epoch 068] alpha=0.00 | train_loss=2.7503 | dev_loss=2.7471
[epoch 069] alpha=0.00 | train_loss=2.7470 | dev_loss=2.7469
[epoch 070] alpha=0.00 | train_loss=2.7549 | dev_loss=2.7483
[epoch 071] alpha=0.00 | train_loss=2.7497 | dev_loss=2.7490
[epoch 072] alpha=0.00 | train_loss=2.7512 | dev_loss=2.7485
[epoch 073] alpha=0.00 | train_loss=2.7536 | dev_loss=2.7467
[epoch 074] alpha=0.00 | train_loss=2.7551 | dev_loss=2.7458
[epoch 075] alpha=0.00 | train_loss=2.7554 | dev_loss=2.7482
[epoch 076] alpha=0.00 | train_loss=2.7464 | dev_loss=2.7470
[epoch 077] alpha=0.00 | train_loss=2.7479 | dev_loss=2.7468
[epoch 078] alpha=0.00 | train_loss=2.7503 | dev_loss=2.7482
[epoch 079] alpha=0.00 | train_loss=2.7497 | dev_loss=2.7468
[epoch 080] alpha=0.00 | train_loss=2.7489 | dev_loss=2.7475
[epoch 081] alpha=0.00 | train_loss=2.7535 | dev_loss=2.7497
[epoch 082] alpha=0.00 | train_loss=2.7539 | dev_loss=2.7510
[epoch 083] alpha=0.00 | train_loss=2.7508 | dev_loss=2.7471
[epoch 084] alpha=0.00 | train_loss=2.7491 | dev_loss=2.7468
[epoch 085] alpha=0.00 | train_loss=2.7469 | dev_loss=2.7469
[epoch 086] alpha=0.00 | train_loss=2.7519 | dev_loss=2.7522
[epoch 087] alpha=0.00 | train_loss=2.7499 | dev_loss=2.7474
[epoch 088] alpha=0.00 | train_loss=2.7468 | dev_loss=2.7492
[epoch 089] alpha=0.00 | train_loss=2.7456 | dev_loss=2.7461
[epoch 090] alpha=0.00 | train_loss=2.7551 | dev_loss=2.7499
[epoch 091] alpha=0.00 | train_loss=2.7531 | dev_loss=2.7505
[epoch 092] alpha=0.00 | train_loss=2.7487 | dev_loss=2.7493
[epoch 093] alpha=0.00 | train_loss=2.7477 | dev_loss=2.7467
[epoch 094] alpha=0.00 | train_loss=2.7469 | dev_loss=2.7458
[epoch 095] alpha=0.00 | train_loss=2.7514 | dev_loss=2.7475
[epoch 096] alpha=0.00 | train_loss=2.7479 | dev_loss=2.7469
[epoch 097] alpha=0.00 | train_loss=2.7455 | dev_loss=2.7476
[epoch 098] alpha=0.00 | train_loss=2.7454 | dev_loss=2.7470
[epoch 099] alpha=0.00 | train_loss=2.7521 | dev_loss=2.7508
[epoch 100] alpha=0.00 | train_loss=2.7618 | dev_loss=2.8307
Best checkpoint: /home/jsudan/wav2vec_contr_loss/checkpoints_stage1/supcon_temp_0.6/facebook__wav2vec2-xls-r-300m/facebook__wav2vec2-xls-r-300m_stage1_head_best.pt (dev=2.7456)
Using device: cuda
Model: facebook/wav2vec2-xls-r-300m
Checkpoint: /home/jsudan/wav2vec_contr_loss/checkpoints_stage1/supcon_temp_0.6/facebook__wav2vec2-xls-r-300m/facebook__wav2vec2-xls-r-300m_stage1_head_best.pt
Saving to: /home/jsudan/wav2vec_contr_loss/plots/dep_embeddings/ASV/supcon_temp_0.6/facebook__wav2vec2-xls-r-300m
Loaded finetuned encoder weights from checkpoint.
Collecting embeddings on eval set...
/home/jsudan/myenv/lib/python3.9/site-packages/umap/umap_.py:1952: UserWarning: n_jobs value 1 overridden to 1 by setting random_state. Use no seed for parallelism.
  warn(
/home/jsudan/myenv/lib/python3.9/site-packages/numba/np/ufunc/parallel.py:371: NumbaWarning: The TBB threading layer requires TBB version 2021 update 6 or later i.e., TBB_INTERFACE_VERSION >= 12060. Found TBB_INTERFACE_VERSION = 12040. The TBB threading layer is disabled.
  warnings.warn(problem)
  Processed 5120 samples...
  Processed 10240 samples...
  Processed 15360 samples...
  Processed 20480 samples...
  Processed 25600 samples...
  Processed 30720 samples...
  Processed 35840 samples...
  Processed 40960 samples...
  Processed 46080 samples...
  Processed 51200 samples...
  Processed 56320 samples...
  Processed 61440 samples...
  Processed 66560 samples...
Total eval embeddings: 71237 (dim=256)
Running UMAP...
Saving PNG plot...
Saved PNG: /home/jsudan/wav2vec_contr_loss/plots/dep_embeddings/ASV/supcon_temp_0.6/facebook__wav2vec2-xls-r-300m/stage1_umap_eval_by_attack.png
Saving interactive HTML plot...
Saved HTML: /home/jsudan/wav2vec_contr_loss/plots/dep_embeddings/ASV/supcon_temp_0.6/facebook__wav2vec2-xls-r-300m/stage1_umap_eval_by_attack.html
Done.
Using device: cuda
Model: facebook/wav2vec2-xls-r-300m
Checkpoint: /home/jsudan/wav2vec_contr_loss/checkpoints_stage1/supcon_temp_0.6/facebook__wav2vec2-xls-r-300m/facebook__wav2vec2-xls-r-300m_stage1_head_best.pt
Saving to: /home/jsudan/wav2vec_contr_loss/plots/dep_embeddings/ITW/supcon_temp_0.6/facebook__wav2vec2-xls-r-300m
Loaded finetuned encoder weights from checkpoint.
Collecting embeddings on ITW set...
/home/jsudan/myenv/lib/python3.9/site-packages/umap/umap_.py:1952: UserWarning: n_jobs value 1 overridden to 1 by setting random_state. Use no seed for parallelism.
  warn(
/home/jsudan/myenv/lib/python3.9/site-packages/numba/np/ufunc/parallel.py:371: NumbaWarning: The TBB threading layer requires TBB version 2021 update 6 or later i.e., TBB_INTERFACE_VERSION >= 12060. Found TBB_INTERFACE_VERSION = 12040. The TBB threading layer is disabled.
  warnings.warn(problem)
  Processed 5120 samples...
  Processed 10240 samples...
  Processed 15360 samples...
  Processed 20480 samples...
  Processed 25600 samples...
  Processed 30720 samples...
Total ITW embeddings: 31779 (dim=256)
Running UMAP...
Saving PNG plot...
Saved PNG: /home/jsudan/wav2vec_contr_loss/plots/dep_embeddings/ITW/supcon_temp_0.6/facebook__wav2vec2-xls-r-300m/stage1_umap_itw_real_vs_spoof.png
Saving interactive HTML plot...
Saved HTML: /home/jsudan/wav2vec_contr_loss/plots/dep_embeddings/ITW/supcon_temp_0.6/facebook__wav2vec2-xls-r-300m/stage1_umap_itw_real_vs_spoof.html
Done.
Using device: cuda
Loading Stage-1 checkpoint from: /home/jsudan/wav2vec_contr_loss/checkpoints_stage1/supcon_temp_0.6/facebook__wav2vec2-xls-r-300m/facebook__wav2vec2-xls-r-300m_stage1_head_best.pt
[OK] Loaded finetuned encoder weights from checkpoint.
==> Building ASV dataset for split: train
[ASV] Extracting train:   0%|          | 0/100 [00:00<?, ?it/s][ASV] Extracting train:   1%|          | 1/100 [00:06<11:04,  6.71s/it][ASV] Extracting train:   2%|▏         | 2/100 [00:09<07:33,  4.63s/it][ASV] Extracting train:   3%|▎         | 3/100 [00:13<06:24,  3.97s/it][ASV] Extracting train:   4%|▍         | 4/100 [00:16<05:51,  3.66s/it][ASV] Extracting train:   5%|▌         | 5/100 [00:19<05:31,  3.49s/it][ASV] Extracting train:   6%|▌         | 6/100 [00:22<05:18,  3.39s/it][ASV] Extracting train:   7%|▋         | 7/100 [00:25<05:09,  3.33s/it][ASV] Extracting train:   8%|▊         | 8/100 [00:29<05:02,  3.28s/it][ASV] Extracting train:   9%|▉         | 9/100 [00:32<04:56,  3.26s/it][ASV] Extracting train:  10%|█         | 10/100 [00:35<04:51,  3.24s/it][ASV] Extracting train:  11%|█         | 11/100 [00:38<04:47,  3.23s/it][ASV] Extracting train:  12%|█▏        | 12/100 [00:41<04:43,  3.22s/it][ASV] Extracting train:  13%|█▎        | 13/100 [00:45<04:39,  3.21s/it][ASV] Extracting train:  14%|█▍        | 14/100 [00:48<04:36,  3.21s/it][ASV] Extracting train:  15%|█▌        | 15/100 [00:51<04:32,  3.21s/it][ASV] Extracting train:  16%|█▌        | 16/100 [00:54<04:29,  3.21s/it][ASV] Extracting train:  17%|█▋        | 17/100 [00:57<04:26,  3.21s/it][ASV] Extracting train:  18%|█▊        | 18/100 [01:01<04:22,  3.21s/it][ASV] Extracting train:  19%|█▉        | 19/100 [01:04<04:19,  3.21s/it][ASV] Extracting train:  20%|██        | 20/100 [01:07<04:16,  3.21s/it][ASV] Extracting train:  21%|██        | 21/100 [01:10<04:13,  3.21s/it][ASV] Extracting train:  22%|██▏       | 22/100 [01:13<04:10,  3.21s/it][ASV] Extracting train:  23%|██▎       | 23/100 [01:17<04:06,  3.21s/it][ASV] Extracting train:  24%|██▍       | 24/100 [01:20<04:03,  3.21s/it][ASV] Extracting train:  25%|██▌       | 25/100 [01:23<04:00,  3.21s/it][ASV] Extracting train:  26%|██▌       | 26/100 [01:26<03:58,  3.22s/it][ASV] Extracting train:  27%|██▋       | 27/100 [01:29<03:55,  3.22s/it][ASV] Extracting train:  28%|██▊       | 28/100 [01:33<03:52,  3.22s/it][ASV] Extracting train:  29%|██▉       | 29/100 [01:36<03:49,  3.23s/it][ASV] Extracting train:  30%|███       | 30/100 [01:39<03:46,  3.23s/it][ASV] Extracting train:  31%|███       | 31/100 [01:42<03:42,  3.23s/it][ASV] Extracting train:  32%|███▏      | 32/100 [01:46<03:39,  3.23s/it][ASV] Extracting train:  33%|███▎      | 33/100 [01:49<03:36,  3.23s/it][ASV] Extracting train:  34%|███▍      | 34/100 [01:52<03:33,  3.23s/it][ASV] Extracting train:  35%|███▌      | 35/100 [01:55<03:30,  3.24s/it][ASV] Extracting train:  36%|███▌      | 36/100 [01:59<03:26,  3.23s/it][ASV] Extracting train:  37%|███▋      | 37/100 [02:02<03:23,  3.23s/it][ASV] Extracting train:  38%|███▊      | 38/100 [02:05<03:20,  3.23s/it][ASV] Extracting train:  39%|███▉      | 39/100 [02:08<03:17,  3.24s/it][ASV] Extracting train:  40%|████      | 40/100 [02:12<03:14,  3.24s/it][ASV] Extracting train:  41%|████      | 41/100 [02:15<03:10,  3.23s/it][ASV] Extracting train:  42%|████▏     | 42/100 [02:18<03:07,  3.23s/it][ASV] Extracting train:  43%|████▎     | 43/100 [02:21<03:04,  3.23s/it][ASV] Extracting train:  44%|████▍     | 44/100 [02:24<03:00,  3.23s/it][ASV] Extracting train:  45%|████▌     | 45/100 [02:28<02:57,  3.23s/it][ASV] Extracting train:  46%|████▌     | 46/100 [02:31<02:54,  3.23s/it][ASV] Extracting train:  47%|████▋     | 47/100 [02:34<02:51,  3.23s/it][ASV] Extracting train:  48%|████▊     | 48/100 [02:37<02:48,  3.23s/it][ASV] Extracting train:  49%|████▉     | 49/100 [02:41<02:44,  3.23s/it][ASV] Extracting train:  50%|█████     | 50/100 [02:44<02:41,  3.23s/it][ASV] Extracting train:  51%|█████     | 51/100 [02:47<02:38,  3.23s/it][ASV] Extracting train:  52%|█████▏    | 52/100 [02:50<02:35,  3.23s/it][ASV] Extracting train:  53%|█████▎    | 53/100 [02:54<02:31,  3.23s/it][ASV] Extracting train:  54%|█████▍    | 54/100 [02:57<02:28,  3.23s/it][ASV] Extracting train:  55%|█████▌    | 55/100 [03:00<02:25,  3.24s/it][ASV] Extracting train:  56%|█████▌    | 56/100 [03:03<02:22,  3.23s/it][ASV] Extracting train:  57%|█████▋    | 57/100 [03:06<02:19,  3.24s/it][ASV] Extracting train:  58%|█████▊    | 58/100 [03:10<02:15,  3.24s/it][ASV] Extracting train:  59%|█████▉    | 59/100 [03:13<02:12,  3.24s/it][ASV] Extracting train:  60%|██████    | 60/100 [03:16<02:09,  3.24s/it][ASV] Extracting train:  61%|██████    | 61/100 [03:19<02:06,  3.24s/it][ASV] Extracting train:  62%|██████▏   | 62/100 [03:23<02:03,  3.24s/it][ASV] Extracting train:  63%|██████▎   | 63/100 [03:26<01:59,  3.24s/it][ASV] Extracting train:  64%|██████▍   | 64/100 [03:29<01:56,  3.24s/it][ASV] Extracting train:  65%|██████▌   | 65/100 [03:32<01:53,  3.24s/it][ASV] Extracting train:  66%|██████▌   | 66/100 [03:36<01:49,  3.23s/it][ASV] Extracting train:  67%|██████▋   | 67/100 [03:39<01:46,  3.23s/it][ASV] Extracting train:  68%|██████▊   | 68/100 [03:42<01:43,  3.23s/it][ASV] Extracting train:  69%|██████▉   | 69/100 [03:45<01:40,  3.24s/it][ASV] Extracting train:  70%|███████   | 70/100 [03:49<01:37,  3.24s/it][ASV] Extracting train:  71%|███████   | 71/100 [03:52<01:33,  3.24s/it][ASV] Extracting train:  72%|███████▏  | 72/100 [03:55<01:30,  3.24s/it][ASV] Extracting train:  73%|███████▎  | 73/100 [03:58<01:27,  3.24s/it][ASV] Extracting train:  74%|███████▍  | 74/100 [04:02<01:24,  3.24s/it][ASV] Extracting train:  75%|███████▌  | 75/100 [04:05<01:21,  3.24s/it][ASV] Extracting train:  76%|███████▌  | 76/100 [04:08<01:17,  3.24s/it][ASV] Extracting train:  77%|███████▋  | 77/100 [04:11<01:14,  3.24s/it][ASV] Extracting train:  78%|███████▊  | 78/100 [04:15<01:11,  3.24s/it][ASV] Extracting train:  79%|███████▉  | 79/100 [04:18<01:08,  3.24s/it][ASV] Extracting train:  80%|████████  | 80/100 [04:21<01:04,  3.24s/it][ASV] Extracting train:  81%|████████  | 81/100 [04:24<01:01,  3.24s/it][ASV] Extracting train:  82%|████████▏ | 82/100 [04:27<00:58,  3.24s/it][ASV] Extracting train:  83%|████████▎ | 83/100 [04:31<00:55,  3.24s/it][ASV] Extracting train:  84%|████████▍ | 84/100 [04:34<00:51,  3.24s/it][ASV] Extracting train:  85%|████████▌ | 85/100 [04:37<00:48,  3.24s/it][ASV] Extracting train:  86%|████████▌ | 86/100 [04:40<00:45,  3.24s/it][ASV] Extracting train:  87%|████████▋ | 87/100 [04:44<00:42,  3.24s/it][ASV] Extracting train:  88%|████████▊ | 88/100 [04:47<00:38,  3.24s/it][ASV] Extracting train:  89%|████████▉ | 89/100 [04:50<00:35,  3.24s/it][ASV] Extracting train:  90%|█████████ | 90/100 [04:53<00:32,  3.25s/it][ASV] Extracting train:  91%|█████████ | 91/100 [04:57<00:29,  3.25s/it][ASV] Extracting train:  92%|█████████▏| 92/100 [05:00<00:25,  3.25s/it][ASV] Extracting train:  93%|█████████▎| 93/100 [05:03<00:22,  3.24s/it][ASV] Extracting train:  94%|█████████▍| 94/100 [05:06<00:19,  3.25s/it][ASV] Extracting train:  95%|█████████▌| 95/100 [05:10<00:16,  3.24s/it][ASV] Extracting train:  96%|█████████▌| 96/100 [05:13<00:12,  3.24s/it][ASV] Extracting train:  97%|█████████▋| 97/100 [05:16<00:09,  3.24s/it][ASV] Extracting train:  98%|█████████▊| 98/100 [05:19<00:06,  3.24s/it][ASV] Extracting train:  99%|█████████▉| 99/100 [05:23<00:03,  3.24s/it][ASV] Extracting train: 100%|██████████| 100/100 [05:23<00:00,  2.42s/it][ASV] Extracting train: 100%|██████████| 100/100 [05:23<00:00,  3.24s/it]
[OK][ASV] Saved train: embeddings (25380, 256), labels (25380,)
     -> /scratch/hafiz_root/hafiz1/jsudan/encoder_embeddings/stage1_embeddings/ASV/supcon_temp_0.6/train_embeddings.npy
     -> /scratch/hafiz_root/hafiz1/jsudan/encoder_embeddings/stage1_embeddings/ASV/supcon_temp_0.6/train_labels.npy
==> Building ASV dataset for split: dev
